FACID,FACID,LAT,LON,totpop,buff,stabbr,statename,region,RAW_E_PM25,S_E_PM25_PER,R_E_PM25_PER,N_E_PM25_PER,S_E_PM25,R_E_PM25,N_E_PM25,RAW_E_O3,S_E_O3_PER,R_E_O3_PER,N_E_O3_PER,S_E_O3,R_E_O3,N_E_O3,RAW_E_DIESEL,S_E_DIESEL_PER,R_E_DIESEL_PER,N_E_DIESEL_PER,S_E_DIESEL,R_E_DIESEL,N_E_DIESEL,RAW_E_CANCER,S_E_CANCER_PER,R_E_CANCER_PER,N_E_CANCER_PER,S_E_CANCER,R_E_CANCER,N_E_CANCER,RAW_E_NEURO,S_E_NEURO_PER,R_E_NEURO_PER,N_E_NEURO_PER,S_E_NEURO,R_E_NEURO,N_E_NEURO,RAW_E_RESP,S_E_RESP_PER,R_E_RESP_PER,N_E_RESP_PER,S_E_RESP,R_E_RESP,N_E_RESP,RAW_E_TRAFFIC,S_E_TRAFFIC_PER,R_E_TRAFFIC_PER,N_E_TRAFFIC_PER,S_E_TRAFFIC,R_E_TRAFFIC,N_E_TRAFFIC,RAW_E_LEAD,S_E_LEAD_PER,R_E_LEAD_PER,N_E_LEAD_PER,S_E_LEAD,R_E_LEAD,N_E_LEAD,RAW_E_NPL,S_E_NPL_PER,R_E_NPL_PER,N_E_NPL_PER,S_E_NPL,R_E_NPL,N_E_NPL,RAW_E_RMP,S_E_RMP_PER,R_E_RMP_PER,N_E_RMP_PER,S_E_RMP,R_E_RMP,N_E_RMP,RAW_E_TSDF,S_E_TSDF_PER,R_E_TSDF_PER,N_E_TSDF_PER,S_E_TSDF,R_E_TSDF,N_E_TSDF,RAW_E_NPDES,S_E_NPDES_PER,R_E_NPDES_PER,N_E_NPDES_PER,S_E_NPDES,R_E_NPDES,N_E_NPDES,RAW_D_INDEX,S_D_INDEX_PER,R_D_INDEX_PER,N_D_INDEX_PER,S_D_INDEX,R_D_INDEX,N_D_INDEX,RAW_D_MINOR,S_D_MINOR_PER,R_D_MINOR_PER,N_D_MINOR_PER,S_D_MINOR,R_D_MINOR,N_D_MINOR,RAW_D_INCOME,S_D_INCOME_PER,R_D_INCOME_PER,N_D_INCOME_PER,S_D_INCOME,R_D_INCOME,N_D_INCOME,RAW_D_LING,S_D_LING_PER,R_D_LING_PER,N_D_LING_PER,S_D_LING,R_D_LING,N_D_LING,RAW_D_LESSHS,S_D_LESSHS_PER,R_D_LESSHS_PER,N_D_LESSHS_PER,S_D_LESSHS,R_D_LESSHS,N_D_LESSHS,RAW_D_UNDER5,S_D_UNDER5_PER,R_D_UNDER5_PER,N_D_UNDER5_PER,S_D_UNDER5,R_D_UNDER5,N_D_UNDER5,RAW_D_OVER64,S_D_OVER64_PER,R_D_OVER64_PER,N_D_OVER64_PER,S_D_OVER64,R_D_OVER64,N_D_OVER64
544,544,37.936111,-87.169722,444.0891616,NA,Indiana,IN,5,10.9,44,59,85,11,10.6,9.32,53.8,93,86,83,51.2,50.3,47.4,0.354,6,14,20,0.835,0.931,0.937,33,52,49,28,34,34,40, NA,NA,NA,NA,0,0,0,0.99,25,21,14,1.4,1.7,1.8,24,34,32,29,250,370,590,0.37,60,54,66,0.36,0.39,0.3,0.063,45,53,51,0.16,0.12,0.13,0.41,65,66,72,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.11,25,32,36,0.34,0.31,0.31,11,15,16,10,27,29,36,2,15,11,5,19,24,37,20,26,31,29,35,33,35,0,63,58,44,2,2,5,9,42,51,43,12,11,14,8,73,76,73,6,6,6,18,77,74,75,14,14,14
545,545,35.4278,-78.4889,175.6019191,NA,North Carolina,NC,4,9.18,50,47,43,9.13,8.9,9.32,45.4,36,56,34,46.4,42.4,47.4,0.465,45,34,29,0.636,0.752,0.937,38,31,32,45,41,42,40, NA,NA,NA,NA,0,0,0,1.2,36,18,24,1.4,1.7,1.8,140,70,66,56,170,290,590,0.1,47,54,36,0.17,0.16,0.3,0.022,24,35,20,0.078,0.077,0.13,0.37,83,78,70,0.26,0.32,0.43,0,76,36,26,0.011,0.044,0.072,0.26,82,80,71,0.19,0.2,0.31,24,32,32,40,37,38,36,13,24,26,30,35,37,37,36,46,45,56,39,39,35,3,71,69,62,3,3,5,14,54,54,62,15,15,14,6,50,51,49,6,6,6,10,33,32,36,14,15,14
546,546,38.182222,-99.315694,1.014732965,NA,Kansas,KS,7,7.74,6,3,17,9.21,9.75,9.32,55.4,23,64,88,55.6,53,47.4,0.144,3,1,3,0.639,0.779,0.937,25,4,11,8,39,38,40, NA,NA,NA,NA,0,0,0,0.62,2,5,3,1.6,1.5,1.8,15,38,26,22,140,490,590,0.67,82,83,85,0.37,0.36,0.3,0.011,26,23,18,0.078,0.097,0.13,1.1,81,82,89,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.0034,6,2,1,0.24,0.22,0.31,19,39,42,27,28,26,36,3,7,16,7,23,18,37,35,58,57,55,33,33,35,0,59,66,45,2,2,5,10,63,60,49,10,11,14,3,15,17,20,7,7,6,18,71,69,74,14,14,14
547,547,38.028333,-87.03667,217.5711288,NA,Indiana,IN,5,10.9,42,58,84,11,10.6,9.32,53.2,86,83,81,51.2,50.3,47.4,0.34,4,13,19,0.835,0.931,0.937,33,50,48,27,34,34,40, NA,NA,NA,NA,0,0,0,0.99,26,21,15,1.4,1.7,1.8,14,25,23,21,250,370,590,0.43,66,60,71,0.36,0.39,0.3,0.068,48,56,54,0.16,0.12,0.13,0.44,67,67,73,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.32,70,73,76,0.34,0.31,0.31,16,31,33,21,27,29,36,1,8,5,2,19,24,37,31,48,53,49,35,33,35,0,63,58,44,2,2,5,13,59,67,57,12,11,14,5,39,42,41,6,6,6,12,45,43,48,14,14,14
548,548,28.713333,-97.213333,142.8392727,NA,Texas,TX,6,7.81,9,11,18,9.63,9.45,9.32,35.8,7,5,9,45.4,47,47.4,0.251,7,13,11,0.756,0.72,0.937,29,6,6,16,41,42,40, NA,NA,NA,NA,0,0,0,0.92,10,8,12,1.8,1.8,1.8,40,31,36,37,390,320,590,0.23,74,72,53,0.16,0.18,0.3,0,24,26,16,0.075,0.072,0.13,0.23,43,49,60,0.61,0.55,0.43,0.031,35,41,42,0.085,0.075,0.072,0.23,61,63,68,0.48,0.41,0.31,39,42,47,62,47,45,36,38,34,42,60,56,50,37,40,53,52,62,39,39,35,2,32,43,52,8,6,5,7,31,29,38,18,17,14,3,12,13,17,7,7,6,18,84,82,76,11,12,14
549,549,38.794167,-87.259722,54.58070175,NA,Indiana,IN,5,10.7,14,48,81,11,10.6,9.32,54.6,99,91,85,51.2,50.3,47.4,0.313,2,10,16,0.835,0.931,0.937,29,21,26,15,34,34,40, NA,NA,NA,NA,0,0,0,0.76,5,8,7,1.4,1.7,1.8,110,56,56,52,250,370,590,0.64,82,76,83,0.36,0.39,0.3,0.04,29,34,35,0.16,0.12,0.13,1.4,90,91,93,0.52,0.51,0.43,0.028,54,39,38,0.044,0.069,0.072,0.83,91,91,91,0.34,0.31,0.31,10,12,13,7,27,29,36,0,6,3,1,19,24,37,20,25,31,29,35,33,35,0,63,58,44,2,2,5,10,50,58,50,12,11,14,7,63,67,64,6,6,6,19,79,76,77,14,14,14
550,550,38.608611,-87.346667,775.626898,NA,Indiana,IN,5,10.8,21,51,82,11,10.6,9.32,54.5,99,90,85,51.2,50.3,47.4,0.319,3,11,17,0.835,0.931,0.937,29,24,28,16,34,34,40, NA,NA,NA,NA,0,0,0,0.79,7,9,7,1.4,1.7,1.8,0,3,2,2,250,370,590,0.36,59,53,65,0.36,0.39,0.3,0.064,45,54,51,0.16,0.12,0.13,0.86,81,82,86,0.52,0.51,0.43,0.0034,32,25,27,0.044,0.069,0.072,0.08,12,18,21,0.34,0.31,0.31,17,34,36,23,27,29,36,4,26,20,10,19,24,37,30,45,51,47,35,33,35,0,63,58,44,2,2,5,6,30,37,32,12,11,14,6,55,58,56,6,6,6,16,66,64,66,14,14,14
551,551,35.037958,-81.886592,1068.803843,NA,South Carolina,SC,4,10.1,78,74,65,9.39,8.9,9.32,46.6,95,64,40,42,42.4,47.4,0.598,54,45,40,0.698,0.752,0.937,45,59,63,69,44,42,40, NA,NA,NA,NA,0,0,0,1.4,39,36,37,1.6,1.7,1.8,20,50,33,26,52,290,590,0.16,67,67,46,0.15,0.16,0.3,0.046,45,56,40,0.088,0.077,0.13,0.11,39,38,30,0.3,0.32,0.43,0.066,76,81,68,0.049,0.044,0.072,0.51,91,91,84,0.22,0.2,0.31,40,59,60,63,38,38,36,30,48,50,52,36,37,37,50,68,69,75,40,39,35,1,65,52,45,2,3,5,19,66,68,73,15,15,14,4,26,26,24,6,6,6,17,70,70,73,15,15,14
552,552,38.388333,-87.590833,269.2949867,NA,Indiana,IN,5,10.7,18,51,82,11,10.6,9.32,53.8,93,86,82,51.2,50.3,47.4,0.38,11,17,22,0.835,0.931,0.937,31,34,36,21,34,34,40, NA,NA,NA,NA,0,0,0,0.95,23,19,13,1.4,1.7,1.8,130,60,59,55,250,370,590,0.39,62,56,68,0.36,0.39,0.3,0.03,19,22,27,0.16,0.12,0.13,1,85,85,89,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.2,52,59,62,0.34,0.31,0.31,22,51,51,35,27,29,36,6,36,31,16,19,24,37,38,60,64,60,35,33,35,0,63,58,44,2,2,5,13,61,68,59,12,11,14,6,53,57,54,6,6,6,17,75,72,73,14,14,14
553,553,38.267778,-87.688611,1527.420109,NA,Indiana,IN,5,10.7,14,48,81,11,10.6,9.32,53.6,91,85,82,51.2,50.3,47.4,0.331,3,12,18,0.835,0.931,0.937,31,31,34,19,34,34,40, NA,NA,NA,NA,0,0,0,0.89,17,16,11,1.4,1.7,1.8,0.11,4,3,3,250,370,590,0.44,68,61,72,0.36,0.39,0.3,0.029,17,20,26,0.16,0.12,0.13,1.4,89,90,92,0.52,0.51,0.43,0.023,43,31,32,0.044,0.069,0.072,0.081,12,18,22,0.34,0.31,0.31,18,37,38,25,27,29,36,4,29,23,12,19,24,37,31,47,53,49,35,33,35,0,63,58,44,2,2,5,7,32,40,34,12,11,14,6,45,48,46,6,6,6,18,75,72,74,14,14,14
554,554,38.238333,-87.4025,251.2962963,NA,Indiana,IN,5,10.9,35,56,84,11,10.6,9.32,52.6,80,80,78,51.2,50.3,47.4,0.367,9,16,21,0.835,0.931,0.937,31,35,37,21,34,34,40, NA,NA,NA,NA,0,0,0,0.89,17,15,11,1.4,1.7,1.8,22,32,30,27,250,370,590,0.63,81,75,83,0.36,0.39,0.3,0.032,21,24,28,0.16,0.12,0.13,0.62,74,75,80,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.05,2,6,9,0.34,0.31,0.31,17,34,36,23,27,29,36,0,5,3,1,19,24,37,34,52,57,53,35,33,35,0,63,58,44,2,2,5,6,30,37,32,12,11,14,11,87,90,88,6,6,6,12,48,46,51,14,14,14
555,555,37.683333,-101.0375,15.16993958,NA,Kansas,KS,7,7.72,6,3,17,9.21,9.75,9.32,55.3,23,63,88,55.6,53,47.4,0.138,2,0,3,0.639,0.779,0.937,25,4,11,8,39,38,40, NA,NA,NA,NA,0,0,0,1.2,20,33,22,1.6,1.5,1.8,5.6,21,13,11,140,490,590,0.31,49,52,62,0.37,0.36,0.3,0,24,21,16,0.078,0.097,0.13,0.3,50,54,66,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.022,8,3,2,0.24,0.22,0.31,33,70,75,54,28,26,36,19,58,69,39,23,18,37,46,74,75,71,33,33,35,6,88,91,76,2,2,5,42,97,98,95,10,11,14,11,84,88,88,7,7,6,10,32,28,35,14,14,14
556,556,37.437222,-100.971667,562.8392125,NA,Kansas,KS,7,7.72,6,3,17,9.21,9.75,9.32,55.3,23,63,88,55.6,53,47.4,0.138,2,0,3,0.639,0.779,0.937,25,4,11,8,39,38,40, NA,NA,NA,NA,0,0,0,1.2,20,33,22,1.6,1.5,1.8,35,55,41,35,140,490,590,0.43,61,62,71,0.37,0.36,0.3,0,24,21,16,0.078,0.097,0.13,0.69,67,71,82,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.022,8,3,1,0.24,0.22,0.31,47,84,88,71,28,26,36,47,87,89,66,23,18,37,48,76,77,73,33,33,35,12,94,96,86,2,2,5,27,92,93,85,10,11,14,5,35,38,41,7,7,6,16,64,60,66,14,14,14
557,557,38.045556,-87.271667,6358.124281,NA,Indiana,IN,5,11,51,61,85,11,10.6,9.32,51.6,53,69,72,51.2,50.3,47.4,0.511,30,29,33,0.835,0.931,0.937,36,68,64,38,34,34,40, NA,NA,NA,NA,0,0,0,1.2,42,32,24,1.4,1.7,1.8,170,66,64,59,250,370,590,0.47,70,63,73,0.36,0.39,0.3,0.037,27,30,33,0.16,0.12,0.13,1.6,92,93,94,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.49,81,82,83,0.34,0.31,0.31,20,45,46,31,27,29,36,5,32,27,14,19,24,37,35,55,60,56,35,33,35,0,63,58,44,2,2,5,12,56,64,55,12,11,14,6,52,56,53,6,6,6,19,79,76,78,14,14,14
558,558,38.861944,-87.444444,516.2711807,NA,Indiana,IN,5,10.7,14,48,81,11,10.6,9.32,55,99,94,87,51.2,50.3,47.4,0.369,9,16,21,0.835,0.931,0.937,29,24,28,16,34,34,40, NA,NA,NA,NA,0,0,0,0.82,10,11,9,1.4,1.7,1.8,58,47,46,42,250,370,590,0.54,75,69,78,0.36,0.39,0.3,0.052,37,45,44,0.16,0.12,0.13,1.6,92,92,94,0.52,0.51,0.43,0.034,64,46,45,0.044,0.069,0.072,0.057,4,8,11,0.34,0.31,0.31,26,60,59,43,27,29,36,10,46,42,23,19,24,37,42,65,70,66,35,33,35,0,63,58,44,2,2,5,15,69,75,64,12,11,14,11,88,90,89,6,6,6,28,96,95,94,14,14,14
559,559,33.981389,-118.238056,NA,NA,NA,NA,NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA
560,560,37.0254,-99.5906,2,NA,Kansas,KS,7,7.28,1,1,11,9.21,9.75,9.32,55.4,27,67,88,55.6,53,47.4,0.116,1,0,2,0.639,0.779,0.937,27,8,17,12,39,38,40, NA,NA,NA,NA,0,0,0,0.79,6,13,7,1.6,1.5,1.8,17,41,29,24,140,490,590,0.69,84,84,86,0.37,0.36,0.3,0,24,21,16,0.078,0.097,0.13,0.4,56,60,72,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0,5,1,1,0.24,0.22,0.31,26,59,63,43,28,26,36,19,57,69,39,23,18,37,34,56,55,53,33,33,35,0,58,65,44,2,2,5,6,42,36,29,10,11,14,4,22,25,28,7,7,6,23,86,86,87,14,14,14
561,561,38.881874,-86.062215,1755.873051,NA,Indiana,IN,5,10.5,9,43,78,11,10.6,9.32,50.9,37,57,68,51.2,50.3,47.4,0.438,22,23,27,0.835,0.931,0.937,32,42,42,24,34,34,40, NA,NA,NA,NA,0,0,0,0.94,21,18,12,1.4,1.7,1.8,190,68,65,61,250,370,590,0.34,58,51,64,0.36,0.39,0.3,0.088,57,66,62,0.16,0.12,0.13,0.75,78,79,83,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.082,13,19,23,0.34,0.31,0.31,18,39,40,26,27,29,36,3,19,14,7,19,24,37,34,53,58,54,35,33,35,0,63,58,44,2,2,5,14,64,71,61,12,11,14,6,50,54,51,6,6,6,18,79,76,77,14,14,14
562,562,38.999167,-74.853333,75.83535109,NA,New Jersey,NJ,2,7.72,1,6,17,9.26,9.13,9.32,54,99,99,83,47.6,46.2,47.4,0.372,2,12,22,1.31,1.87,0.937,26,0,10,9,42,44,40, NA,NA,NA,NA,0,0,0,0.72,0,7,6,2.1,2.4,1.8,260,54,50,67,660,1800,590,0.11,18,10,38,0.42,0.52,0.3,0.063,2,17,51,0.44,0.29,0.13,0.45,81,87,74,0.33,0.24,0.43,0,4,9,26,0.099,0.07,0.072,0.21,56,49,65,0.42,0.53,0.31,0,0,0,0,33,36,36,0,0,1,1,42,43,37,0,1,0,0,25,30,35,5,58,56,70,7,8,5,2,12,10,10,12,14,14,0,4,4,3,6,6,6,43,97,98,98,14,14,14
563,563,38.979429,-85.960587,120.9655194,NA,Indiana,IN,5,10.6,11,45,79,11,10.6,9.32,51,38,58,68,51.2,50.3,47.4,0.425,20,22,26,0.835,0.931,0.937,32,44,44,25,34,34,40, NA,NA,NA,NA,0,0,0,1.1,38,29,21,1.4,1.7,1.8,34,39,38,35,250,370,590,0.32,55,49,62,0.36,0.39,0.3,0.11,63,72,69,0.16,0.12,0.13,0.59,73,73,79,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.13,32,40,44,0.34,0.31,0.31,11,14,15,9,27,29,36,1,8,5,2,19,24,37,21,27,33,30,35,33,35,0,63,58,44,2,2,5,4,18,24,21,12,11,14,6,54,58,56,6,6,6,18,78,75,77,14,14,14
564,564,35.433056,-94.3575,NA,NA,NA,NA,NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA
565,565,48.700736,-100.2,NA,NA,NA,NA,NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA
566,566,38.803766,-85.840106,1623.997467,NA,Indiana,IN,5,10.6,10,44,79,11,10.6,9.32,51.9,64,73,74,51.2,50.3,47.4,0.572,36,33,38,0.835,0.931,0.937,32,43,43,24,34,34,40, NA,NA,NA,NA,0,0,0,1,29,23,16,1.4,1.7,1.8,17,29,26,23,250,370,590,0.36,59,53,65,0.36,0.39,0.3,0.058,42,50,48,0.16,0.12,0.13,1.2,87,88,91,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.14,34,42,46,0.34,0.31,0.31,23,52,52,36,27,29,36,2,18,13,7,19,24,37,43,66,70,66,35,33,35,0,63,58,44,2,2,5,13,61,69,59,12,11,14,5,37,40,39,6,6,6,15,63,60,63,14,14,14
567,567,37.928333,-87.902222,3664.71262,NA,Indiana,IN,5,10.5,10,43,79,11,10.6,9.32,53.9,95,87,83,51.2,50.3,47.4,0.96,66,58,63,0.835,0.931,0.937,41,86,82,55,34,34,40, NA,NA,NA,NA,0,0,0,1.5,65,49,41,1.4,1.7,1.8,0.93,6,4,4,250,370,590,0.42,65,59,70,0.36,0.39,0.3,0.033,23,26,30,0.16,0.12,0.13,4.7,99,99,99,0.52,0.51,0.43,0.67,99,99,99,0.044,0.069,0.072,1.9,98,98,98,0.34,0.31,0.31,20,45,46,31,27,29,36,6,35,29,15,19,24,37,35,54,59,55,35,33,35,1,64,60,46,2,2,5,15,68,74,64,12,11,14,6,48,52,50,6,6,6,16,69,67,69,14,14,14
568,568,36.183611,-94.540556,NA,NA,NA,NA,NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA
569,569,43.52736,-96.363291,756.4996085,NA,Minnesota,MN,5,9.17,21,8,42,9.95,10.6,9.32,51.5,100,69,72,44.2,50.3,47.4,0.237,17,5,10,0.753,0.931,0.937,20,10,2,2,36,34,40, NA,NA,NA,NA,0,0,0,0.58,7,2,3,2.2,1.7,1.8,0.016,3,2,2,350,370,590,0.51,75,67,76,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,1.4,91,90,92,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0.055,17,8,11,0.21,0.31,0.31,19,54,41,27,22,29,36,4,20,19,10,18,24,37,34,70,58,53,27,33,35,0,56,58,44,2,2,5,9,68,53,45,8,11,14,11,90,90,89,6,6,6,16,68,65,68,14,14,14
570,570,42.869444,-78.874444,5407.725707,NA,New York,NY,2,9.94,78,79,61,9.07,9.13,9.32,50.4,99,94,64,45.6,46.2,47.4,0.772,32,31,51,2.13,1.87,0.937,34,34,30,30,45,44,40, NA,NA,NA,NA,0,0,0,1.1,21,17,19,2.5,2.4,1.8,6900,90,93,98,2300,1800,590,0.65,54,60,84,0.57,0.52,0.3,0.04,11,8,35,0.22,0.29,0.13,1.6,98,97,94,0.2,0.24,0.43,0.037,35,33,47,0.058,0.07,0.072,0.19,38,42,59,0.59,0.53,0.31,55,70,73,77,38,36,36,56,64,65,72,43,43,37,54,81,84,80,33,30,35,6,59,60,73,8,8,5,22,74,77,78,15,14,14,8,72,72,67,6,6,6,13,50,51,53,14,14,14
571,571,30.3738,-87.0202,240.0360026,NA,Florida,FL,4,7.82,90,29,18,7.05,8.9,9.32,42.3,99,43,21,33.3,42.4,47.4,0.209,2,5,7,0.883,0.752,0.937,31,20,9,22,37,42,40, NA,NA,NA,NA,0,0,0,0.89,3,4,11,1.7,1.7,1.8,250,61,76,66,450,290,590,0.014,36,21,14,0.12,0.16,0.3,0.043,34,55,37,0.13,0.077,0.13,0.27,71,72,64,0.32,0.32,0.43,0.014,22,38,28,0.061,0.044,0.072,0.066,33,20,15,0.18,0.2,0.31,22,24,27,35,41,38,36,13,19,27,30,43,37,37,31,41,38,49,38,39,35,1,32,54,47,7,3,5,6,27,23,31,14,15,14,6,57,51,49,6,6,6,16,57,64,67,18,15,14
572,572,39.853611,-84.550278,1965.058703,NA,Ohio,OH,5,11.3,44,70,88,11.3,10.6,9.32,54.6,72,91,85,52.8,50.3,47.4,0.508,20,29,33,0.995,0.931,0.937,32,30,41,23,37,34,40, NA,NA,NA,NA,0,0,0,1.1,18,28,19,1.8,1.7,1.8,23,38,31,28,170,370,590,0.55,69,70,79,0.42,0.39,0.3,0.032,37,25,29,0.091,0.12,0.13,0.083,13,14,21,0.44,0.51,0.43,0.034,35,46,45,0.089,0.069,0.072,0.087,14,21,25,0.33,0.31,0.31,16,36,33,21,27,29,36,2,14,9,5,19,24,37,30,49,52,48,34,33,35,0,68,58,44,1,2,5,11,61,63,53,11,11,14,6,53,51,49,6,6,6,16,61,65,67,15,14,14
573,573,39.549167,-84.796669,141.9210308,NA,Ohio,OH,5,11.2,40,68,87,11.3,10.6,9.32,56,99,97,90,52.8,50.3,47.4,0.465,16,25,29,0.995,0.931,0.937,31,24,36,20,37,34,40, NA,NA,NA,NA,0,0,0,1.1,20,28,20,1.8,1.7,1.8,33,44,37,34,170,370,590,0.31,44,47,61,0.42,0.39,0.3,0.048,50,41,41,0.091,0.12,0.13,0.28,62,57,64,0.44,0.51,0.43,0.024,17,32,33,0.089,0.069,0.072,0.32,69,73,76,0.33,0.31,0.31,5,3,2,1,27,29,36,5,31,24,12,19,24,37,6,5,5,5,34,33,35,0,68,58,44,1,2,5,5,28,30,26,11,11,14,7,67,66,63,6,6,6,15,58,62,65,15,14,14
574,574,30.249722,-91.085,1936.169019,NA,Louisiana,LA,6,10.3,93,76,73,9.26,9.45,9.32,41.5,29,23,18,42.1,47,47.4,1.01,68,78,66,0.887,0.72,0.937,50,67,86,83,49,42,40, NA,NA,NA,NA,0,0,0,2.1,70,73,70,1.9,1.8,1.8,0.19,8,3,3,250,320,590,0.016,12,26,15,0.22,0.18,0.3,0.03,36,41,27,0.08,0.072,0.13,4.4,99,99,99,0.58,0.55,0.43,0.32,98,96,96,0.051,0.075,0.072,2.1,97,96,98,0.45,0.41,0.31,53,71,64,76,40,45,36,64,75,64,76,40,50,37,43,57,57,66,40,39,35,0,62,35,44,2,6,5,33,89,83,90,17,17,14,1,4,4,5,7,7,6,4,5,10,7,13,12,14
575,575,29.923611,-93.884167,1910.60703,NA,Texas,TX,6,8.79,23,24,35,9.63,9.45,9.32,37.8,9,6,12,45.4,47,47.4,0.321,14,21,17,0.756,0.72,0.937,35,17,15,33,41,42,40, NA,NA,NA,NA,0,0,0,2.4,82,83,79,1.8,1.8,1.8,100,47,53,52,390,320,590,0.3,79,78,60,0.16,0.18,0.3,0.16,90,90,81,0.075,0.072,0.13,1.7,92,93,95,0.61,0.55,0.43,0.17,89,90,91,0.085,0.075,0.072,3,98,98,99,0.48,0.41,0.31,81,89,91,95,47,45,36,86,77,82,88,56,50,37,75,92,92,95,39,39,35,16,82,87,90,8,6,5,37,83,87,93,18,17,14,14,92,93,95,7,7,6,7,36,29,21,11,12,14
