OBJECTID,id,name,lat,lon,_ACSTOTPOP,_ACSIPOVBAS,_ACSTOTHH,_ACSEDUCBAS,_PRE1960,_buff,_stabbr,_statename,_region,_S_P_PM25,_R_P_PM25,_N_P_PM25,_S_P_O3,_R_P_O3,_N_P_O3,_S_P_DIESEL,_R_P_DIESEL,_N_P_DIESEL,_S_P_CANCER,_R_P_CANCER,_N_P_CANCER,_S_P_RESP,_R_P_RESP,_N_P_RESP,_S_P_TRAFFIC,_R_P_TRAFFIC,_N_P_TRAFFIC,_S_P_LEAD,_R_P_LEAD,_N_P_LEAD,_S_P_NPL,_R_P_NPL,_N_P_NPL,_S_P_RMP,_R_P_RMP,_N_P_RMP,_S_P_TSDF,_R_P_TSDF,_N_P_TSDF,_S_P_NPDES,_R_P_NPDES,_N_P_NPDES,_RAW_E_PM25,_S_E_PM25_PER,_R_E_PM25_PER,_N_E_PM25_PER,_S_E_PM25,_R_E_PM25,_N_E_PM25,_RAW_E_O3,_S_E_O3_PER,_R_E_O3_PER,_N_E_O3_PER,_S_E_O3,_R_E_O3,_N_E_O3,_RAW_E_DIESEL,_S_E_DIESEL_PER,_R_E_DIESEL_PER,_N_E_DIESEL_PER,_S_E_DIESEL,_R_E_DIESEL,_N_E_DIESEL,_RAW_E_CANCER,_S_E_CANCER_PER,_R_E_CANCER_PER,_N_E_CANCER_PER,_S_E_CANCER,_R_E_CANCER,_N_E_CANCER,_RAW_E_RESP,_S_E_RESP_PER,_R_E_RESP_PER,_N_E_RESP_PER,_S_E_RESP,_R_E_RESP,_N_E_RESP,_RAW_E_TRAFFIC,_S_E_TRAFFIC_PER,_R_E_TRAFFIC_PER,_N_E_TRAFFIC_PER,_S_E_TRAFFIC,_R_E_TRAFFIC,_N_E_TRAFFIC,_RAW_E_LEAD,_S_E_LEAD_PER,_R_E_LEAD_PER,_N_E_LEAD_PER,_S_E_LEAD,_R_E_LEAD,_N_E_LEAD,_RAW_E_NPL,_S_E_NPL_PER,_R_E_NPL_PER,_N_E_NPL_PER,_S_E_NPL,_R_E_NPL,_N_E_NPL,_RAW_E_RMP,_S_E_RMP_PER,_R_E_RMP_PER,_N_E_RMP_PER,_S_E_RMP,_R_E_RMP,_N_E_RMP,_RAW_E_TSDF,_S_E_TSDF_PER,_R_E_TSDF_PER,_N_E_TSDF_PER,_S_E_TSDF,_R_E_TSDF,_N_E_TSDF,_RAW_E_NPDES,_S_E_NPDES_PER,_R_E_NPDES_PER,_N_E_NPDES_PER,_S_E_NPDES,_R_E_NPDES,_N_E_NPDES,_RAW_D_INDEX,_S_D_INDEX_PER,_R_D_INDEX_PER,_N_D_INDEX_PER,_S_D_INDEX,_R_D_INDEX,_N_D_INDEX,_RAW_D_MINOR,_S_D_MINOR_PER,_R_D_MINOR_PER,_N_D_MINOR_PER,_S_D_MINOR,_R_D_MINOR,_N_D_MINOR,_RAW_D_INCOME,_S_D_INCOME_PER,_R_D_INCOME_PER,_N_D_INCOME_PER,_S_D_INCOME,_R_D_INCOME,_N_D_INCOME,_RAW_D_LING,_S_D_LING_PER,_R_D_LING_PER,_N_D_LING_PER,_S_D_LING,_R_D_LING,_N_D_LING,_RAW_D_LESSHS,_S_D_LESSHS_PER,_R_D_LESSHS_PER,_N_D_LESSHS_PER,_S_D_LESSHS,_R_D_LESSHS,_N_D_LESSHS,_RAW_D_UNDER5,_S_D_UNDER5_PER,_R_D_UNDER5_PER,_N_D_UNDER5_PER,_S_D_UNDER5,_R_D_UNDER5,_N_D_UNDER5,_RAW_D_OVER64,_S_D_OVER64_PER,_R_D_OVER64_PER,_N_D_OVER64_PER,_S_D_OVER64,_R_D_OVER64,_N_D_OVER64
138,CA4653732,Facility CA4653732,35.11346143,-120.3005101,2,2,1,2,0,1 miles,CA,California,9,8,8,20,6,8,17,22,24,45,8,9,19,7,9,16,20,19,25,7,5,17,4,4,14,9,9,20,22,22,34,8,9,20,6.73,6,13,15,9.78,9.21,8.3,40.7,24,19,32,48.2,48.9,43,0.0735,2,<50th,<50th,0.468,0.479,0.479,25,7,<50th,<50th,36,35,32,0.38,8,<50th,<50th,0.55,0.53,0.44,100,12,17,35,2000,1700,750,0.18,47,55,49,0.29,0.24,0.28,0.083,49,56,60,0.18,0.15,0.13,0.25,30,36,45,1.1,0.99,0.74,0.13,9,12,23,3.4,2.9,4,0.00033,65,66,60,17,31,14,22%,12,13,33,48%,47%,36%,20%,7,9,37,62%,59%,39%,23%,38,38,39,34%,34%,33%,5%,43,48,72,9%,8%,4%,5%,23,25,28,18%,17%,13%,3%,21,22,23,6%,6%,6%,17%,75,73,66,13%,14%,15%
139,IN7830618,Facility IN7830618,38.86228439,-87.72062871,7439,4314,1855,2403,1329,1 miles,IN,Indiana,5,79,77,62,79,77,62,79,77,64,79,77,61,79,77,61,90,88,78,88,84,81,58,52,39,83,83,75,84,81,75,89,90,87,8.8,32,45,65,9,8.63,8.3,43.6,35,34,48,43.9,43.4,43,0.532,72,70-80th,60-70th,0.449,0.446,0.479,30,86,70-80th,<50th,26,26,32,0.43,91,80-90th,<50th,0.34,0.34,0.44,1500,95,92,87,380,530,750,0.6,80,75,82,0.34,0.38,0.28,1.2,98,98,98,0.17,0.13,0.13,2.1,90,89,91,0.82,0.82,0.74,2.1,82,76,78,1.1,1.5,4,0.013,76,74,80,0.45,0.82,14,39%,79,76,62,27%,28%,36%,23%,70,64,42,20%,25%,39%,71%,94,94,94,33%,31%,33%,4%,86,82,68,2%,2%,4%,23%,87,90,82,12%,10%,13%,3%,20,22,22,6%,6%,6%,7%,12,13,16,15%,15%,15%
140,VA9383805,Facility VA9383805,37.38656383,-79.03945162,367,366,144,240,17,1 miles,VA,Virginia,3,82,82,73,82,81,73,75,75,67,82,82,73,81,81,72,72,73,64,81,78,73,95,94,92,83,80,71,80,77,71,N/A,76,74,8.39,90,47,51,7.79,8.64,8.3,41.9,47,16,38,42.5,44.9,43,0.2,18,<50th,<50th,0.425,0.477,0.479,32,62,50-60th,50-60th,31,31,32,0.42,53,50-60th,<50th,0.41,0.4,0.44,63,32,27,27,570,640,750,0.11,48,27,39,0.21,0.36,0.28,0.42,96,93,94,0.11,0.15,0.13,0.25,65,50,44,0.38,0.62,0.74,0.31,55,41,44,0.66,1.3,4,0,N/A,22,37,0.8,30,14,46%,79,79,70,32%,30%,36%,46%,65,71,64,37%,32%,39%,46%,84,82,74,26%,28%,33%,0%,52,55,45,3%,3%,4%,13%,67,69,62,11%,11%,13%,6%,51,55,50,6%,6%,6%,13%,48,39,46,14%,16%,15%
141,FL9967350,Facility FL9967350,25.92143101,-80.2903311,16737,16684,4956,10864,1270,1 miles,FL,Florida,4,76,81,83,78,82,82,79,89,90,75,81,84,75,81,84,77,87,83,88,90,84,97,99,99,97,98,98,73,78,73,N/A,74,74,6.51,6,2,12,7.43,8.59,8.3,30.5,28,8,3,33.7,40,43,0.666,71,80-90th,70-80th,0.557,0.417,0.479,27,7,<50th,<50th,33,36,32,0.4,11,<50th,<50th,0.49,0.52,0.44,340,57,73,59,550,350,750,0.21,80,75,53,0.11,0.15,0.28,0.97,98,99,98,0.13,0.083,0.13,4.6,99,99,98,0.79,0.6,0.74,0.18,52,51,33,0.47,0.52,4,0,N/A,42,37,0.48,0.45,14,70%,87,89,89,41%,38%,36%,87%,86,90,88,45%,38%,39%,52%,77,76,81,36%,37%,33%,4%,56,75,68,7%,3%,4%,21%,80,78,79,12%,13%,13%,7%,67,62,60,5%,6%,6%,11%,30,33,37,19%,16%,15%
142,CA409149,Facility CA409149,38.35560424,-122.2548971,4052,4008,1426,2613,283,1 miles,CA,California,9,27,30,52,26,30,51,32,34,57,25,27,48,25,27,46,46,51,76,57,62,77,0,0,3,46,51,71,31,33,54,74,76,82,5.43,0,3,3,9.78,9.21,8.3,33.2,11,9,7,48.2,48.9,43,0.0629,1,<50th,<50th,0.468,0.479,0.479,27,13,<50th,<50th,36,35,32,0.43,19,<50th,50-60th,0.55,0.53,0.44,370,28,36,61,2000,1700,750,0.19,48,56,50,0.29,0.24,0.28,0.88,97,97,97,0.18,0.15,0.13,1.1,67,71,78,1.1,0.99,0.74,0.044,2,3,6,3.4,2.9,4,0.0017,71,71,69,17,31,14,41%,40,43,64,48%,47%,36%,43%,28,32,62,62%,59%,39%,39%,62,62,64,34%,34%,33%,7%,52,57,78,9%,8%,4%,18%,59,62,75,18%,17%,13%,7%,54,54,58,6%,6%,6%,18%,77,76,70,13%,14%,15%
143,IN355449,Facility IN355449,40.8481945,-85.64685435,4823,4518,1754,3242,83,1 miles,IN,Indiana,5,23,19,12,24,20,15,23,19,15,27,23,22,28,24,23,27,27,21,64,61,39,0,0,0,1,2,1,1,1,1,37,34,22,9.31,74,70,77,9,8.63,8.3,44.7,87,57,60,43.9,43.4,43,0.397,48,50-60th,50-60th,0.449,0.446,0.479,24,28,<50th,<50th,26,26,32,0.3,25,<50th,<50th,0.34,0.34,0.44,150,48,46,42,380,530,750,0.045,14,12,26,0.34,0.38,0.28,1.1,97,98,98,0.17,0.13,0.13,1.8,87,87,89,0.82,0.82,0.74,4,93,89,87,1.1,1.5,4,0.00022,45,48,58,0.45,0.82,14,24%,57,56,39,27%,28%,36%,18%,63,57,35,20%,25%,39%,30%,49,55,50,33%,31%,33%,0%,64,58,45,2%,2%,4%,8%,41,50,43,12%,10%,13%,5%,38,40,39,6%,6%,6%,23%,88,86,86,15%,15%,15%
144,VA9847377,Facility VA9847377,37.41117818,-79.0132657,116,116,49,87,15,1 miles,VA,Virginia,3,71,73,63,71,73,63,66,70,60,69,72,62,69,72,62,67,70,61,81,78,73,85,82,79,67,70,59,66,69,59,85,83,80,7.1,6,3,19,7.79,8.64,8.3,39.2,3,1,25,42.5,44.9,43,0.115,2,<50th,<50th,0.425,0.477,0.479,23,3,<50th,<50th,31,31,32,0.28,2,<50th,<50th,0.41,0.4,0.44,26,21,18,17,570,640,750,0.27,71,49,59,0.21,0.36,0.28,0.29,94,89,91,0.11,0.15,0.13,0.07,15,9,8,0.38,0.62,0.74,0.04,3,2,5,0.66,1.3,4,0.00012,67,46,55,0.8,30,14,41%,72,74,64,32%,30%,36%,42%,61,68,61,37%,32%,39%,39%,76,75,65,26%,28%,33%,1%,53,56,45,3%,3%,4%,16%,73,76,69,11%,11%,13%,4%,32,35,32,6%,6%,6%,21%,80,77,81,14%,16%,15%
145,FL7014108,Facility FL7014108,27.96092448,-82.11243434,3390,3366,1153,2184,413,1 miles,FL,Florida,4,79,84,85,80,84,84,85,93,93,80,85,88,80,86,89,85,93,90,86,88,83,99,99,99,97,98,98,98,99,94,99,99,99,8.42,97,44,52,7.43,8.59,8.3,38.5,97,41,23,33.7,40,43,1.08,92,95-100th,90-95th,0.557,0.417,0.479,39,96,70-80th,80-90th,33,36,32,0.61,92,80-90th,80-90th,0.49,0.52,0.44,790,79,88,77,550,350,750,0.31,86,84,63,0.11,0.15,0.28,3.8,99,99,99,0.13,0.083,0.13,5,99,99,98,0.79,0.6,0.74,6.6,99,99,93,0.47,0.52,4,220,99,99,99,0.48,0.45,14,62%,79,83,84,41%,38%,36%,67%,72,79,77,45%,38%,39%,58%,84,82,85,36%,37%,33%,7%,69,84,78,7%,3%,4%,31%,92,92,90,12%,13%,13%,9%,83,81,78,5%,6%,6%,13%,42,46,50,19%,16%,15%
146,IN7274316,Facility IN7274316,39.04824913,-85.30050629,9484,9429,4262,6191,2990,1 miles,IN,Indiana,5,92,91,82,91,90,80,94,94,87,93,91,78,93,92,79,94,92,84,94,90,89,98,99,98,92,92,87,88,85,80,83,84,80,9.8,96,93,86,9,8.63,8.3,43.7,40,36,49,43.9,43.4,43,0.903,96,90-95th,90-95th,0.449,0.446,0.479,31,93,80-90th,<50th,26,26,32,0.45,94,80-90th,50-60th,0.34,0.34,0.44,600,83,78,72,380,530,750,0.59,79,73,81,0.34,0.38,0.28,0.93,97,98,98,0.17,0.13,0.13,1.4,81,80,83,0.82,0.82,0.74,0.92,64,57,62,1.1,1.5,4,0.000045,38,40,51,0.45,0.82,14,68%,94,92,88,27%,28%,36%,77%,95,91,82,20%,25%,39%,59%,86,88,86,33%,31%,33%,1%,71,66,51,2%,2%,4%,15%,72,78,68,12%,10%,13%,8%,71,74,72,6%,6%,6%,10%,30,29,34,15%,15%,15%
147,CA8555149,Facility CA8555149,41.60709742,-123.3455204,1321,1319,536,862,302,1 miles,CA,California,9,33,36,59,34,37,60,33,35,58,34,36,59,35,37,60,38,42,67,56,61,76,75,79,89,33,36,59,42,47,70,N/A,68,74,5.08,0,1,1,9.78,9.21,8.3,39.1,19,15,25,48.2,48.9,43,0.0413,0,<50th,<50th,0.468,0.479,0.479,24,6,<50th,<50th,36,35,32,0.61,68,60-70th,80-90th,0.55,0.53,0.44,240,22,28,52,2000,1700,750,0.5,74,78,76,0.29,0.24,0.28,0.98,97,98,98,0.18,0.15,0.13,0.053,1,3,5,1.1,0.99,0.74,0.98,36,45,64,3.4,2.9,4,0,N/A,54,37,17,31,14,46%,47,50,69,48%,47%,36%,46%,30,34,63,62%,59%,39%,46%,70,70,74,34%,34%,33%,3%,29,34,61,9%,8%,4%,12%,47,50,60,18%,17%,13%,5%,37,38,41,6%,6%,6%,16%,69,68,60,13%,14%,15%
148,VA6292451,Facility VA6292451,36.33808026,-76.80907264,3070,3012,1189,2088,36,1 miles,VA,Virginia,3,20,27,20,20,24,18,28,34,25,21,23,18,21,21,18,29,36,28,42,58,42,0,0,0,8,15,13,21,33,26,3,12,8,7.41,24,10,25,7.79,8.64,8.3,42,49,16,38,42.5,44.9,43,0.262,30,<50th,<50th,0.425,0.477,0.479,28,32,<50th,<50th,31,31,32,0.38,34,<50th,<50th,0.41,0.4,0.44,85,37,31,32,570,640,750,0.03,26,12,21,0.21,0.36,0.28,1.3,99,99,99,0.11,0.15,0.13,0.44,75,63,57,0.38,0.62,0.74,0.26,51,37,40,0.66,1.3,4,0.013,92,78,80,0.8,30,14,19%,29,39,29,32%,30%,36%,24%,38,53,43,37%,32%,39%,15%,33,29,22,26%,28%,33%,0%,52,55,45,3%,3%,4%,9%,51,51,47,11%,11%,13%,6%,53,57,52,6%,6%,6%,16%,63,55,62,14%,16%,15%
149,IN7632507,Facility IN7632507,40.70993821,-86.03389578,7489,7489,3361,4877,2619,1 miles,IN,Indiana,5,85,82,69,85,82,69,84,82,71,84,81,67,84,81,66,86,84,73,91,86,84,96,98,96,87,87,80,83,80,72,89,90,87,8.87,40,51,68,9,8.63,8.3,43.7,42,36,49,43.9,43.4,43,0.482,64,60-70th,60-70th,0.449,0.446,0.479,26,50,50-60th,<50th,26,26,32,0.35,59,60-70th,<50th,0.34,0.34,0.44,550,81,76,70,380,530,750,0.62,82,76,83,0.34,0.38,0.28,1.4,98,99,99,0.17,0.13,0.13,1.2,77,76,80,0.82,0.82,0.74,0.69,57,51,57,1.1,1.5,4,0.0054,68,69,76,0.45,0.82,14,46%,84,81,69,27%,28%,36%,28%,76,69,47,20%,25%,39%,63%,89,90,90,33%,31%,33%,1%,71,66,51,2%,2%,4%,17%,77,82,72,12%,10%,13%,7%,63,67,64,6%,6%,6%,14%,51,48,53,15%,15%,15%
150,FL9973177,Facility FL9973177,29.31605241,-81.38655751,17425,17211,7285,11724,567,1 miles,FL,Florida,4,79,84,85,82,85,85,79,89,89,80,85,88,80,86,89,86,93,90,73,74,71,97,99,99,92,96,95,89,91,83,89,80,78,7.65,59,22,30,7.43,8.59,8.3,37.5,87,35,19,33.7,40,43,0.664,71,80-90th,70-80th,0.557,0.417,0.479,36,81,50-60th,70-80th,33,36,32,0.56,79,60-70th,80-90th,0.49,0.52,0.44,1000,86,92,82,550,350,750,0.067,62,46,31,0.11,0.15,0.28,0.83,98,99,97,0.13,0.083,0.13,2.9,96,97,95,0.79,0.6,0.74,0.68,82,78,57,0.47,0.52,4,0.0000027,74,50,43,0.48,0.45,14,47%,63,69,70,41%,38%,36%,47%,57,65,64,45%,38%,39%,47%,70,68,75,36%,37%,33%,4%,55,74,67,7%,3%,4%,7%,38,33,41,12%,13%,13%,5%,53,48,45,5%,6%,6%,11%,32,34,39,19%,16%,15%
151,CA7434980,Facility CA7434980,41.80776819,-124.4142331,746,734,340,532,127,1 miles,CA,California,9,27,30,52,27,30,52,30,32,55,27,30,52,22,24,41,28,29,43,12,10,31,30,31,54,32,34,57,29,31,51,N/A,68,74,5.58,1,3,4,9.78,9.21,8.3,29.3,6,4,2,48.2,48.9,43,0.0686,2,<50th,<50th,0.468,0.479,0.479,20,1,<50th,<50th,36,35,32,0.62,70,70-80th,80-90th,0.55,0.53,0.44,63,9,12,28,2000,1700,750,0.29,57,64,61,0.29,0.24,0.28,0.012,1,7,6,0.18,0.15,0.13,0.011,0,0,0,1.1,0.99,0.74,0.11,8,10,20,3.4,2.9,4,0,N/A,54,37,17,31,14,28%,22,24,47,48%,47%,36%,24%,10,12,43,62%,59%,39%,33%,54,54,55,34%,34%,33%,1%,17,21,46,9%,8%,4%,9%,38,41,48,18%,17%,13%,9%,76,76,78,6%,6%,6%,13%,58,57,47,13%,14%,15%
152,IN3129339,Facility IN3129339,39.83875262,-84.87407316,6399,5442,2634,4154,2351,1 miles,IN,Indiana,5,73,71,55,73,71,55,73,69,53,73,71,56,73,71,56,77,74,61,68,65,42,34,30,22,55,50,35,75,72,56,26,24,15,8.81,34,47,65,9,8.63,8.3,44,54,41,51,43.9,43.4,43,0.483,64,60-70th,60-70th,0.449,0.446,0.479,25,42,<50th,<50th,26,26,32,0.33,45,50-60th,<50th,0.34,0.34,0.44,660,85,79,74,380,530,750,0.68,85,80,86,0.34,0.38,0.28,0.83,96,97,97,0.17,0.13,0.13,2,89,89,91,0.82,0.82,0.74,0.11,15,17,19,1.1,1.5,4,0.1,90,86,89,0.45,0.82,14,34%,74,71,56,27%,28%,36%,15%,57,51,30,20%,25%,39%,53%,81,83,81,33%,31%,33%,1%,70,65,50,2%,2%,4%,15%,72,78,68,12%,10%,13%,4%,24,26,26,6%,6%,6%,15%,55,53,57,15%,15%,15%
153,VA7623664,Facility VA7623664,37.90341108,-79.20635659,1041,637,309,842,85,1 miles,VA,Virginia,3,33,40,30,32,37,28,42,47,37,36,39,30,38,39,32,23,29,22,13,31,18,52,60,45,8,15,13,8,17,13,10,26,17,7.4,23,10,24,7.79,8.64,8.3,42.3,57,20,40,42.5,44.9,43,0.203,19,<50th,<50th,0.425,0.477,0.479,26,11,<50th,<50th,31,31,32,0.32,8,<50th,<50th,0.41,0.4,0.44,320,61,56,58,570,640,750,0.25,69,47,57,0.21,0.36,0.28,0.015,4,1,11,0.11,0.15,0.13,0.73,85,74,69,0.38,0.62,0.74,1.2,82,68,68,0.66,1.3,4,0.0022,84,66,71,0.8,30,14,19%,28,38,28,32%,30%,36%,13%,19,36,27,37%,32%,39%,25%,54,51,42,26%,28%,33%,0%,52,55,45,3%,3%,4%,20%,83,85,78,11%,11%,13%,2%,15,16,15,6%,6%,6%,27%,91,90,91,14%,16%,15%
154,FL2132468,Facility FL2132468,31.08786514,-88.25434579,259,187,74,214,0,1 miles,FL,Florida,4,37,44,47,36,43,49,41,43,47,37,43,45,37,42,43,31,28,36,33,44,51,25,24,34,41,43,48,39,44,51,2,4,7,8.11,89,35,41,7.43,8.59,8.3,38.9,98,42,24,33.7,40,43,0.251,12,<50th,<50th,0.557,0.417,0.479,34,55,<50th,60-70th,33,36,32,0.5,52,<50th,60-70th,0.49,0.52,0.44,140,38,55,41,550,350,750,0.0047,25,16,11,0.11,0.15,0.28,0.098,62,78,65,0.13,0.083,0.13,0.14,20,32,26,0.79,0.6,0.74,0.094,23,25,17,0.47,0.52,4,0.075,95,94,88,0.48,0.45,14,32%,41,47,52,41%,38%,36%,40%,50,59,59,45%,38%,39%,24%,31,29,40,36%,37%,33%,1%,30,52,46,7%,3%,4%,6%,30,26,33,12%,13%,13%,2%,21,16,15,5%,6%,6%,16%,55,61,64,19%,16%,15%
155,IN9230000,Facility IN9230000,38.35348311,-86.61749957,2129,2105,901,1406,548,1 miles,IN,Indiana,5,68,65,49,67,64,49,70,63,48,65,62,49,67,64,51,35,35,27,51,50,29,24,21,15,64,59,42,43,42,30,7,9,5,7.97,2,19,38,9,8.63,8.3,42.8,8,25,44,43.9,43.4,43,0.262,16,<50th,<50th,0.449,0.446,0.479,28,69,60-70th,<50th,26,26,32,0.32,37,<50th,<50th,0.34,0.34,0.44,790,88,83,77,380,530,750,0.53,75,69,78,0.34,0.38,0.28,2.2,99,99,99,0.17,0.13,0.13,0.27,41,42,46,0.82,0.82,0.74,0.88,63,56,61,1.1,1.5,4,0.26,93,91,92,0.45,0.82,14,28%,65,63,46,27%,28%,36%,13%,53,48,27,20%,25%,39%,43%,70,73,69,33%,31%,33%,0%,64,58,45,2%,2%,4%,13%,63,71,61,12%,10%,13%,9%,81,83,81,6%,6%,6%,18%,72,70,72,15%,15%,15%
156,CA6027332,Facility CA6027332,37.41520865,-122.7366956,32050,31952,12391,23432,3636,1 miles,CA,California,9,52,56,76,50,53,74,55,58,75,53,57,76,55,59,78,72,77,92,63,68,80,99,99,99,57,61,78,87,90,95,89,90,96,7.95,21,33,37,9.78,9.21,8.3,35.5,15,12,11,48.2,48.9,43,0.399,49,<50th,50-60th,0.468,0.479,0.479,32,30,<50th,50-60th,36,35,32,0.53,46,<50th,70-80th,0.55,0.53,0.44,2600,77,81,93,2000,1700,750,0.28,56,63,60,0.29,0.24,0.28,5.9,99,99,99,0.18,0.15,0.13,0.51,46,51,60,1.1,0.99,0.74,13,95,96,96,3.4,2.9,4,0.36,86,86,93,17,31,14,47%,50,52,71,48%,47%,36%,74%,58,62,80,62%,59%,39%,21%,34,34,34,34%,34%,33%,13%,71,74,87,9%,8%,4%,12%,46,49,58,18%,17%,13%,8%,72,72,75,6%,6%,6%,8%,31,31,23,13%,14%,15%
157,IN1256624,Facility IN1256624,41.58055065,-85.95524231,3567,3515,1267,2365,282,1 miles,IN,Indiana,5,24,19,13,25,21,16,27,23,18,28,25,23,29,24,23,18,19,16,31,33,18,0,0,0,15,14,9,6,8,6,15,17,10,9.32,75,70,77,9,8.63,8.3,44.5,77,51,57,43.9,43.4,43,0.366,43,<50th,<50th,0.449,0.446,0.479,23,25,<50th,<50th,26,26,32,0.3,27,<50th,<50th,0.34,0.34,0.44,280,65,61,56,380,530,750,0.2,41,36,52,0.34,0.38,0.28,1.8,99,99,99,0.17,0.13,0.13,0.79,67,66,70,0.82,0.82,0.74,1.8,78,73,75,1.1,1.5,4,0.009,73,72,79,0.45,0.82,14,21%,49,49,32,27%,28%,36%,13%,54,48,28,20%,25%,39%,28%,46,51,47,33%,31%,33%,0%,64,58,45,2%,2%,4%,11%,58,67,57,12%,10%,13%,6%,55,58,56,6%,6%,6%,14%,51,48,53,15%,15%,15%
158,VA5165718,Facility VA5165718,38.72219905,-76.7389293,8963,8942,3343,6271,263,1 miles,VA,Virginia,3,51,58,46,50,57,46,38,44,34,51,56,45,50,54,44,36,43,34,42,57,41,1,4,2,48,57,48,43,52,41,14,31,21,8.16,72,34,43,7.79,8.64,8.3,45.8,89,53,71,42.5,44.9,43,0.586,79,60-70th,70-80th,0.425,0.477,0.479,32,58,50-60th,50-60th,31,31,32,0.45,71,70-80th,50-60th,0.41,0.4,0.44,700,78,75,75,570,640,750,0.076,41,22,33,0.21,0.36,0.28,1,99,98,98,0.11,0.15,0.13,0.15,47,32,27,0.38,0.62,0.74,0.28,53,39,42,0.66,1.3,4,0.00075,78,58,64,0.8,30,14,29%,51,59,47,32%,30%,36%,44%,62,69,62,37%,32%,39%,14%,31,27,20,26%,28%,33%,4%,80,81,70,3%,3%,4%,10%,55,57,51,11%,11%,13%,8%,70,73,69,6%,6%,6%,8%,26,18,22,14%,16%,15%
159,FL3034626,Facility FL3034626,27.51950327,-81.43158478,7014,6895,2433,4184,508,1 miles,FL,Florida,4,75,81,82,77,81,81,74,85,85,77,82,85,77,83,86,75,86,82,84,85,80,74,87,84,83,89,89,86,89,81,N/A,74,74,7.95,82,31,37,7.43,8.59,8.3,36.9,80,31,17,33.7,40,43,0.587,63,80-90th,70-80th,0.557,0.417,0.479,38,92,60-70th,70-80th,33,36,32,0.59,89,70-80th,80-90th,0.49,0.52,0.44,500,67,81,68,550,350,750,0.18,78,71,49,0.11,0.15,0.28,0.089,59,76,62,0.13,0.083,0.13,1.4,81,87,83,0.79,0.6,0.74,1,88,85,65,0.47,0.52,4,0,N/A,42,37,0.48,0.45,14,62%,79,82,83,41%,38%,36%,66%,71,78,76,45%,38%,39%,57%,83,82,85,36%,37%,33%,14%,83,92,88,7%,3%,4%,24%,85,83,83,12%,13%,13%,7%,72,68,65,5%,6%,6%,11%,31,33,38,19%,16%,15%
160,CA9687477,Facility CA9687477,33.20912735,-119.253628,13392,13246,4082,9068,2220,1 miles,CA,California,9,77,80,92,69,71,87,86,86,92,73,76,88,73,75,89,88,90,97,81,84,91,99,99,99,93,94,97,95,96,97,99,98,99,11.4,70,76,96,9.78,9.21,8.3,41.6,27,22,36,48.2,48.9,43,0.823,90,80-90th,80-90th,0.468,0.479,0.479,36,47,<50th,60-70th,36,35,32,0.54,49,50-60th,70-80th,0.55,0.53,0.44,4700,88,90,96,2000,1700,750,0.49,73,78,76,0.29,0.24,0.28,2,99,99,99,0.18,0.15,0.13,3.3,92,93,96,1.1,0.99,0.74,13,95,96,96,3.4,2.9,4,71,99,98,99,17,31,14,65%,74,76,85,48%,47%,36%,87%,76,78,88,62%,59%,39%,42%,65,66,69,34%,34%,33%,17%,79,82,91,9%,8%,4%,21%,65,68,80,18%,17%,13%,8%,66,66,69,6%,6%,6%,13%,58,57,47,13%,14%,15%
161,VA6251467,Facility VA6251467,39.38636534,-77.38205334,295,292,92,181,9,1 miles,VA,Virginia,3,42,49,38,40,46,35,52,58,46,44,49,38,47,50,40,45,51,42,35,53,37,45,53,39,47,56,47,49,56,45,28,45,31,7.06,5,3,19,7.79,8.64,8.3,42.3,55,19,40,42.5,44.9,43,0.135,5,<50th,<50th,0.425,0.477,0.479,24,4,<50th,<50th,31,31,32,0.29,2,<50th,<50th,0.41,0.4,0.44,36,24,20,21,570,640,750,0.091,45,24,36,0.21,0.36,0.28,0.033,24,15,29,0.11,0.15,0.13,0.087,21,13,12,0.38,0.62,0.74,0.11,19,15,19,0.66,1.3,4,0.000017,54,37,47,0.8,30,14,18%,24,34,25,32%,30%,36%,6%,8,20,13,37%,32%,39%,30%,62,61,50,26%,28%,33%,0%,52,55,45,3%,3%,4%,13%,68,71,63,11%,11%,13%,7%,62,66,61,6%,6%,6%,10%,35,26,31,14%,16%,15%
162,FL7483024,Facility FL7483024,27.09806778,-81.66900278,19145,18936,7906,12367,1029,1 miles,FL,Florida,4,77,82,84,78,82,82,80,90,90,78,83,86,77,83,86,79,89,84,75,75,73,93,97,97,86,92,91,93,95,87,92,86,83,8.42,97,44,52,7.43,8.59,8.3,38.3,96,40,22,33.7,40,43,0.836,82,90-95th,80-90th,0.557,0.417,0.479,38,93,60-70th,70-80th,33,36,32,0.57,84,70-80th,80-90th,0.49,0.52,0.44,580,71,83,71,550,350,750,0.11,71,59,40,0.11,0.15,0.28,0.55,96,97,95,0.13,0.083,0.13,1.5,84,89,85,0.79,0.6,0.74,2,96,94,77,0.47,0.52,4,0.00015,82,66,56,0.48,0.45,14,65%,82,85,85,41%,38%,36%,70%,75,81,79,45%,38%,39%,59%,85,84,87,36%,37%,33%,7%,69,84,78,7%,3%,4%,13%,63,57,63,12%,13%,13%,9%,85,82,80,5%,6%,6%,12%,33,36,40,19%,16%,15%
